time,power_norm
3240,0.0
3241,0.0
3242,0.0
3243,0.0
3244,0.0
3245,79013.7302967
3246,705725.191964
3247,436812.456526
3248,1607119.31352
3249,3236426.48838
3250,3166666.01713
3251,1324793.4522
3252,2025501.89303
3253,2656475.01701
3254,3211993.73156
3255,2900632.28044
3256,2445624.7137
3257,1341521.31385
3258,35279.535902
3259,0.0
3260,0.0
3261,0.0
3262,0.0
3263,0.0
3264,0.0
3265,0.0
3266,0.0
3267,0.0
3268,0.0
3269,747503.581188
3270,2045711.9645
3271,2834626.26345
3272,3287531.45104
3273,3534196.18435
3274,1440434.57253
3275,788564.974335
3276,1486246.25723
3277,2080675.00589
3278,943046.4358
3279,1850795.7982
3280,1436038.46133
3281,1530719.18712
3282,642174.492643
3283,0.0
3284,0.0
3285,0.0
3286,0.0
3287,0.0
3288,0.0
3289,0.0
3290,0.0
3291,0.0
3292,0.0
3293,35744.3065628
3294,786528.449695
3295,2907562.17157
3296,2099869.88377
3297,1725410.33416
3298,1259293.02043
3299,832704.691802
3300,1131118.71467
3301,2462136.57776
3302,3678330.51256
3303,1852549.21933
3304,2142660.63034
3305,711162.014204
3306,417552.20273
3307,0.0
3308,0.0
3309,0.0
3310,0.0
3311,0.0
3312,0.0
3313,0.0
3314,0.0
3315,0.0
3316,0.0
3317,1056312.8288
3318,1660955.21765
3319,1878437.67524
3320,2696236.74399
3321,3146879.6943
3322,3584108.25869
3323,3918270.05086
3324,3767444.57405
3325,3634152.5267
3326,3435518.12601
3327,2366420.54372
3328,2228935.07684
3329,1943896.59
3330,819505.4859
3331,0.0
3332,0.0
3333,0.0
3334,0.0
3335,0.0
3336,0.0
3337,0.0
3338,0.0
3339,0.0
3340,0.0
3341,103753.481632
3342,402084.210108
3343,1961072.33326
3344,1900262.03765
3345,2903997.98938
3346,3170484.22127
3347,3405131.82494
3348,3937164.82536
3349,3867404.31138
3350,2114565.33676
3351,2585587.92894
3352,2959734.51226
3353,2161895.66909
3354,795696.595022
3355,0.0
3356,0.0
3357,0.0
3358,0.0
3359,0.0
3360,0.0
3361,0.0
3362,0.0
3363,0.0
3364,0.0
3365,80018.468431
3366,907611.371661
3367,1619295.40972
3368,1787135.14837
3369,3105020.1595
3370,3547160.48678
3371,3422360.9575
3372,3688947.24782
3373,3253861.32152
3374,3843131.63031
3375,3625513.47035
3376,3186197.1571
3377,2454669.9939
3378,1215426.74931
3379,0.0
3380,0.0
3381,0.0
3382,0.0
3383,0.0
3384,0.0
3385,0.0
3386,0.0
3387,0.0
3388,0.0
3389,620287.623866
3390,1651536.54672
3391,2720847.04663
3392,3561179.68313
3393,3852859.35322
3394,4003884.18577
3395,4046328.59779
3396,1262317.57547
3397,1203092.63716
3398,1071558.18842
3399,880683.640127
3400,635015.861067
3401,365793.082773
3402,127372.528665
3403,0.0
3404,0.0
3405,0.0
3406,0.0
3407,0.0
3408,0.0
3409,0.0
3410,0.0
3411,0.0
3412,0.0
3413,103130.163475
3414,1114120.67283
3415,1086865.61955
3416,842987.774856
3417,665972.455173
3418,1496426.90323
3419,1812664.47609
3420,1526895.78833
3421,1432837.3648
3422,1108170.01467
3423,2056034.44025
3424,1447369.32724
3425,2675676.02673
3426,1540510.08909
3427,0.0
3428,0.0
3429,0.0
3430,0.0
3431,0.0
3432,0.0
3433,0.0
3434,0.0
3435,0.0
3436,0.0
3437,1805603.35278
3438,3404930.84453
3439,4015451.12803
3440,4318372.85053
3441,4449347.92904
3442,4507973.44013
3443,4516152.61697
3444,4502720.74054
3445,4420786.13335
3446,4288089.98767
3447,4112172.20819
3448,3791019.24122
3449,3243635.33285
3450,2169782.55113
3451,0.0
3452,0.0
3453,0.0
3454,0.0
3455,0.0
3456,0.0
3457,0.0
3458,0.0
3459,0.0
3460,0.0
3461,31405.0880833
3462,813608.985973
3463,956634.801471
3464,1642056.60605
3465,2174379.21302
3466,1370578.17043
3467,1358155.56304
3468,1231571.02146
3469,1703299.9691
3470,1212539.6133
3471,1248424.25013
3472,718219.976361
3473,375123.376439
3474,134543.405429
3475,3852.25116923
3476,0.0
3477,0.0
3478,0.0
3479,0.0
3480,0.0
3481,0.0
3482,0.0
3483,0.0
3484,0.0
3485,119925.326263
3486,292151.394647
3487,978410.833665
3488,1303923.59889
3489,1366953.32293
3490,1544270.19913
3491,1131879.21348
3492,1870765.97813
3493,2920465.62373
3494,2717574.97201
3495,1583298.10289
3496,1618796.56869
3497,624735.010604
3498,177946.915046
3499,5643.83787834
3500,0.0
3501,0.0
3502,0.0
3503,0.0
3504,0.0
3505,0.0
3506,0.0
3507,0.0
3508,0.0
3509,79527.424185
3510,1038950.95882
3511,363386.331778
3512,534263.840457
3513,2540455.77123
3514,2757264.22614
3515,2988276.57492
3516,2816195.15262
3517,2810621.92747
3518,2191347.01011
3519,611528.972727
3520,369942.49725
3521,451447.290336
3522,199421.775008
3523,7427.27071621
3524,0.0
3525,0.0
3526,0.0
3527,0.0
3528,0.0
3529,0.0
3530,0.0
3531,0.0
3532,0.0
3533,99059.5697535
3534,465907.003719
3535,854306.082611
3536,1382805.43763
3537,1188351.91703
3538,3032233.16837
3539,2581850.0798
3540,2269545.07116
3541,1980174.5407
3542,2681818.43672
3543,2497292.21902
3544,2231982.72543
3545,2139570.69375
3546,1285806.51521
3547,18364.3300095
3548,0.0
3549,0.0
3550,0.0
3551,0.0
3552,0.0
3553,0.0
3554,0.0
3555,0.0
3556,0.0
3557,208403.939712
3558,1105870.41187
3559,1796053.93211
3560,2636401.80238
3561,3731621.57217
3562,3868791.45589
3563,3249336.50582
3564,3621641.2687
3565,3192083.38625
3566,3791822.49258
3567,2888810.0385
3568,2322607.37051
3569,2475265.40069
3570,1334734.25938
3571,78258.5708544
3572,0.0
3573,0.0
3574,0.0
3575,0.0
3576,0.0
3577,0.0
3578,0.0
3579,0.0
3580,0.0
3581,618448.561866
3582,1176408.42699
3583,1349091.96714
3584,2063736.62531
3585,2184512.9314
3586,2563539.58309
3587,2742447.56827
3588,2396740.37003
3589,2737424.25472
3590,2670250.00265
3591,2711740.25965
3592,1370047.12751
3593,2543858.17494
3594,1484840.76073
3595,22037.1960114
3596,0.0
3597,0.0
3598,0.0
3599,0.0
3600,0.0
3601,0.0
3602,0.0
3603,0.0
3604,0.0
3605,193361.150676
3606,704615.432721
3607,2565570.23118
3608,1543757.09652
3609,2772990.28549
3610,2651638.49425
3611,1667376.36341
3612,1551364.60917
3613,1622757.52656
3614,1896662.56197
3615,1508499.19638
3616,589463.151692
3617,464929.026119
3618,1115059.0676
3619,20155.9167186
3620,0.0
3621,0.0
3622,0.0
3623,0.0
3624,0.0
3625,0.0
3626,0.0
3627,0.0
3628,0.0
3629,88540.169865
3630,1134505.48985
3631,980008.727773
3632,910721.404009
3633,2140844.61018
3634,3153315.94759
3635,2909078.25279
3636,1823624.60923
3637,2112968.52425
3638,1901907.16886
3639,823612.31071
3640,789304.292116
3641,472310.729223
3642,1506557.24212
3643,29839.5448047
3644,0.0
3645,0.0
3646,0.0
3647,0.0
3648,0.0
3649,0.0
3650,0.0
3651,0.0
3652,0.0
3653,1563804.9008
3654,2851996.01978
3655,3513149.73655
3656,3884678.66457
3657,4106489.58034
3658,4225187.51977
3659,4269397.8927
3660,4243760.58508
3661,4162376.44732
3662,4029155.68012
3663,3792990.00776
3664,3438415.31872
3665,2841560.35695
3666,1752379.79363
3667,180956.923117
3668,0.0
3669,0.0
3670,0.0
3671,0.0
3672,0.0
3673,0.0
3674,0.0
3675,0.0
3676,0.0
3677,1502401.70385
3678,2242133.11505
3679,3415073.50249
3680,3787152.0353
3681,2214741.14741
3682,4139614.28729
3683,4192811.82764
3684,3390098.45379
3685,3718874.02268
3686,3966312.09322
3687,3750739.47599
3688,3399431.64513
3689,2851681.24249
3690,1838954.71713
3691,237092.605164
3692,0.0
3693,0.0
3694,0.0
3695,0.0
3696,0.0
3697,0.0
3698,0.0
3699,0.0
3700,0.0
3701,717428.22926
3702,1757956.89913
3703,1725430.01175
3704,2180163.14047
3705,3777289.3258
3706,3357767.50354
3707,3144811.29701
3708,2204766.04404
3709,2678515.4742
3710,2661047.07078
3711,2288600.96607
3712,2960480.07385
3713,1876947.7007
3714,930445.251442
3715,23854.6175255
3716,0.0
3717,0.0
3718,0.0
3719,0.0
3720,0.0
3721,0.0
3722,0.0
3723,0.0
3724,0.0
3725,893593.898403
3726,2115746.54747
3727,2891436.96624
3728,3313213.25804
3729,3564877.51684
3730,3405148.65427
3731,3385391.68768
3732,2225030.29823
3733,2896495.95724
3734,3391240.06543
3735,3114447.24131
3736,2694795.86937
3737,2180896.7111
3738,1217059.10516
3739,141351.929672
3740,0.0
3741,0.0
3742,0.0
3743,0.0
3744,0.0
3745,0.0
3746,0.0
3747,0.0
3748,0.0
3749,1129197.02173
3750,2396738.49485
3751,3127971.50485
3752,3559277.70199
3753,3769253.49969
3754,3298811.94812
3755,3314744.37539
3756,3406279.80131
3757,3341091.08436
3758,3408556.43942
3759,3156267.10982
3760,2201068.68934
3761,963018.886871
3762,44039.2938931
3763,1851.15752836
3764,0.0
3765,0.0
3766,0.0
3767,0.0
3768,0.0
3769,0.0
3770,0.0
3771,0.0
3772,0.0
3773,141303.076236
3774,1007115.28069
3775,1431103.95649
3776,643641.387066
3777,498633.779088
3778,1081319.94937
3779,2916574.92929
3780,3096152.21694
3781,2602527.28565
3782,2769112.7843
3783,2627746.23425
3784,622642.415831
3785,301206.446425
3786,214302.547052
3787,16296.2113919
3788,0.0
3789,0.0
3790,0.0
3791,0.0
3792,0.0
3793,0.0
3794,0.0
3795,0.0
3796,0.0
3797,136686.198533
3798,516807.30598
3799,456889.301124
3800,926813.381525
3801,1694233.55893
3802,2621542.40065
3803,3367758.09274
3804,3963500.35554
3805,3891615.52714
3806,3749872.66386
3807,2437545.37017
3808,2262907.69984
3809,1289280.20581
3810,666560.624681
3811,22019.6469466
3812,0.0
3813,0.0
3814,0.0
3815,0.0
3816,0.0
3817,0.0
3818,0.0
3819,0.0
3820,0.0
3821,690666.906595
3822,1564486.9532
3823,2719137.43107
3824,3209429.37382
3825,3526309.46344
3826,3714892.36754
3827,3805224.79883
3828,3848571.30122
3829,3758677.92115
3830,3602531.58496
3831,3388583.48923
3832,3024970.70633
3833,2467402.97706
3834,1537232.05177
3835,213981.964106
3836,0.0
3837,0.0
3838,0.0
3839,0.0
3840,0.0
3841,0.0
3842,0.0
3843,0.0
3844,0.0
3845,1445408.16013
3846,2597186.15263
3847,3167019.96555
3848,2963177.60614
3849,1561138.60211
3850,2708030.19806
3851,3261268.49427
3852,3457006.56362
3853,3807152.58476
3854,3667751.33334
3855,3455493.3248
3856,3128301.37259
3857,2600814.8645
3858,741388.155085
3859,28906.2946766
3860,0.0
3861,0.0
3862,0.0
3863,0.0
3864,0.0
3865,0.0
3866,0.0
3867,0.0
3868,0.0
3869,439175.143145
3870,1735803.88399
3871,2115696.04327
3872,3057395.06352
3873,2726977.41852
3874,2932432.18046
3875,3281039.42522
