Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,890408,-,-,-,40.13,-88.22,-6,223,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,7,30,14,222,-14,0.866,1.1,74.58,-11,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,8,0,35,486,-14,0.866,1.3,68.82,-10,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,8,30,50,638,-14,0.866,1.4,63.63,-9,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,9,0,61,736,-14,0.866,1.6,61.91,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,9,30,70,798,-14,0.866,1.7,57.29,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,10,0,77,838,-13,0.866,1.9,56.65,-6,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,10,30,82,867,-13,0.866,2,52.48,-5,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,11,0,86,885,-12,0.866,2.2,52.98,-4,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,11,30,88,895,-12,0.866,2.4,49.15,-3,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,12,0,89,898,-11,0.866,2.6,49.1,-3,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
